list,id,condition,sound,verb,speaker,speakerName,speakerGender,utterance,sentence,question,,
1,notice-2-P1,c,P1-N-2-c.wav,notice,P1,Amy,fem,Perhaps she noticed that he had bad breath,Amy (about Sue and Mark):,Is Amy certain that Mark has bad breath?,,
1,know-2-P14,nc,P14-K-2-nc.wav,know,P14,Patty,fem,Perhaps he knew that she was married,Patty (about Greg and Tara):,Is Patty certain that Tara was married?,,
1,aware-3-P8,c,P8-A-3-c.wav,aware,P8,Liam,masc,Perhaps she was aware that he had bad reviews,Liam (about Joan and Lenny):,Is Liam certain that Lenny had bad reviews?,,
1,aware-1-P6,nc,P6-A-1-nc.wav,aware,P6,Dana,fem,Perhaps she was aware that he was a terrible administrator,Dana (about Selena and Scott):,Is Dana certain that Scott was a terrible administrator?,,
1,aware-2-P11,c,P11-A-2-c.wav,aware,P11,Ethan,masc,Perhaps she was aware that he was unreliable,Ethan (about Cassie and Bruce):,Is Ethan certain that Bruce was unreliable?,,
1,know-3-P4,nc,P4-K-3-nc.wav,know,P4,Alexandra,fem,Perhaps she knew that he was wrong,Alexandra (about Maggie and Toby):,Is Alexandra certain that Toby was wrong?,,
1,discover-2-P12,c,P12-D-2-c.wav,discover,P12,Lucas,masc,Perhaps he discovered that he’s a father,Lucas (about Simon):,Is Lucas certain that Simon is a father?,,
1,control1,control,F1.wav,control,F1,Julie,fem,I am tired,Julie (about herself):,Is Julie certain that she is tired?,,
1,control2,control,F2.wav,control,F2,June,fem,I was invited to the party,June (about herself):,Is June certain that she was invited to the party?,,
2,notice-2-P1,nc,P1-N-2-nc.wav,notice,P1,Amy,fem,Perhaps she noticed that he had bad breath,Amy (about Sue and Mark):,Is Amy certain that Mark has bad breath?,,
2,know-2-P14,c,P14-K-2-c.wav,know,P14,Patty,fem,Perhaps he knew that she was married,Patty (about Greg and Tara):,Is Patty certain that Tara was married?,,
2,aware-3-P8,nc,P8-A-3-nc.wav,aware,P8,Liam,masc,Perhaps she was aware that he had bad reviews,Liam (about Joan and Lenny):,Is Liam certain that Lenny had bad reviews?,,
2,aware-1-P6,c,P6-A-1-c.wav,aware,P6,Dana,fem,Perhaps she was aware that he was a terrible administrator,Dana (about Selena and Scott):,Is Dana certain that Scott was a terrible administrator?,,
2,aware-2-P11,nc,P11-A-2-nc.wav,aware,P11,Ethan,masc,Perhaps she was aware that he was unreliable,Ethan (about Cassie and Bruce):,Is Ethan certain that Bruce was unreliable?,,
2,know-3-P4,c,P4-K-3-c.wav,know,P4,Alexandra,fem,Perhaps she knew that he was wrong,Alexandra (about Maggie and Toby):,Is Alexandra certain that Toby was wrong?,,
2,discover-2-P12,nc,P12-D-2-nc.wav,discover,P12,Lucas,masc,Perhaps he discovered that he’s a father,Lucas (about Simon):,Is Lucas certain that Simon is a father?,,
2,control1,control,F1.wav,control,F1,Julie,fem,I am tired,Julie (about herself):,Is Julie certain that she is tired?,,
2,control2,control,F2.wav,control,F2,June,fem,I was invited to the party,June (about herself):,Is June certain that she was invited to the party?,,
3,notice-2-P12,c,P12-N-2-c.wav,notice,P12,Lucas,masc,Perhaps she noticed that he had bad breath,Lucas (about Sue and Mark):,Is Lucas certain that Mark has bad breath?,,
3,know-2-P11,nc,P11-K-2-nc.wav,know,P11,Ethan,masc,Perhaps he knew that she was married,Ethan (about Greg and Tara):,Is Ethan certain that Tara was married?,,
3,aware-3-P6,c,P6-A-3-c.wav,aware,P6,Dana,fem,Perhaps she was aware that he had bad reviews,Dana (about Joan and Lenny):,Is Dana certain that Lenny had bad reviews?,,
3,aware-1-P4,nc,P4-A-1-nc.wav,aware,P4,Alexandra,fem,Perhaps she was aware that he was a terrible administrator,Alexandra (about Selena and Scott):,Is Alexandra certain that Scott was a terrible administrator?,,
3,aware-2-P8,c,P8-A-2-c.wav,aware,P8,Liam,masc,Perhaps she was aware that he was unreliable,Liam (about Cassie and Bruce):,Is Liam certain that Bruce was unreliable?,,
3,know-3-P9,nc,P9-K-3-nc.wav,know,P9,Sophia,fem,Perhaps she knew that he was wrong,Sophia (about Maggie and Toby):,Is Sophia certain that Toby was wrong?,,
3,discover-2-P3,c,P3-D-2-c.wav,discover,P3,Amelia,fem,Perhaps he discovered that he’s a father,Amelia (about Simon):,Is Amelia certain that Simon is a father?,,
3,control1,control,F1.wav,control,F1,Julie,fem,I am tired,Julie (about herself):,Is Julie certain that she is tired?,,
3,control2,control,F2.wav,control,F2,June,fem,I was invited to the party,June (about herself):,Is June certain that she was invited to the party?,,
4,notice-2-P12,nc,P12-N-2-nc.wav,notice,P12,Lucas,masc,Perhaps she noticed that he had bad breath,Lucas (about Sue and Mark):,Is Lucas certain that Mark has bad breath?,,
4,know-2-P11,c,P11-K-2-c.wav,know,P11,Ethan,masc,Perhaps he knew that she was married,Ethan (about Greg and Tara):,Is Ethan certain that Tara was married?,,
4,aware-3-P6,nc,P6-A-3-nc.wav,aware,P6,Dana,fem,Perhaps she was aware that he had bad reviews,Dana (about Joan and Lenny):,Is Dana certain that Lenny had bad reviews?,,
4,aware-1-P4,c,P4-A-1-c.wav,aware,P4,Alexandra,fem,Perhaps she was aware that he was a terrible administrator,Alexandra (about Selena and Scott):,Is Alexandra certain that Scott was a terrible administrator?,,
4,aware-2-P8,nc,P8-A-2-nc.wav,aware,P8,Liam,masc,Perhaps she was aware that he was unreliable,Liam (about Cassie and Bruce):,Is Liam certain that Bruce was unreliable?,,
4,know-3-P9,c,P9-K-3-c.wav,know,P9,Sophia,fem,Perhaps she knew that he was wrong,Sophia (about Maggie and Toby):,Is Sophia certain that Toby was wrong?,,
4,discover-2-P3,nc,P3-D-2-nc.wav,discover,P3,Amelia,fem,Perhaps he discovered that he’s a father,Amelia (about Simon):,Is Amelia certain that Simon is a father?,,
4,control1,control,F1.wav,control,F1,Julie,fem,I am tired,Julie (about herself):,Is Julie certain that she is tired?,,
4,control2,control,F2.wav,control,F2,June,fem,I was invited to the party,June (about herself):,Is June certain that she was invited to the party?,,
5,notice-2-P11,c,P11-N-2-c.wav,notice,P11,Ethan,masc,Perhaps she noticed that he had bad breath,Ethan (about Sue and Mark):,Is Ethan certain that Mark has bad breath?,,
5,know-2-P8,nc,P8-K-2-nc.wav,know,P8,Liam,masc,Perhaps he knew that she was married,Liam (about Greg and Tara):,Is Liam certain that Tara was married?,,
5,aware-3-P14,c,P14-A-3-c.wav,aware,P14,Patty,fem,Perhaps she was aware that he had bad reviews,Patty (about Joan and Lenny):,Is Patty certain that Lenny had bad reviews?,,
5,aware-1-P12,nc,P12-A-1-nc.wav,aware,P12,Lucas,masc,Perhaps she was aware that he was a terrible administrator,Lucas (about Selena and Scott):,Is Lucas certain that Scott was a terrible administrator?,,
5,aware-2-P3,c,P3-A-2-c.wav,aware,P3,Amelia,fem,Perhaps she was aware that he was unreliable,Amelia (about Cassie and Bruce):,Is Amelia certain that Bruce was unreliable?,,
5,know-3-P1,nc,P1-K-3-nc.wav,know,P1,Amy,fem,Perhaps she knew that he was wrong,Amy (about Maggie and Toby):,Is Amy certain that Toby was wrong?,,
5,discover-2-P5,c,P5-D-2-c.wav,discover,P5,Brian,masc,Perhaps he discovered that he’s a father,Brian (about Simon):,Is Brian certain that Simon is a father?,,
5,control1,control,F1.wav,control,F1,Julie,fem,I am tired,Julie (about herself):,Is Julie certain that she is tired?,,
5,control2,control,F2.wav,control,F2,June,fem,I was invited to the party,June (about herself):,Is June certain that she was invited to the party?,,
6,notice-2-P11,nc,P11-N-2-nc.wav,notice,P11,Ethan,masc,Perhaps she noticed that he had bad breath,Ethan (about Sue and Mark):,Is Ethan certain that Mark has bad breath?,,
6,know-2-P8,c,P8-K-2-c.wav,know,P8,Liam,masc,Perhaps he knew that she was married,Liam (about Greg and Tara):,Is Liam certain that Tara was married?,,
6,aware-3-P14,nc,P14-A-3-nc.wav,aware,P14,Patty,fem,Perhaps she was aware that he had bad reviews,Patty (about Joan and Lenny):,Is Patty certain that Lenny had bad reviews?,,
6,aware-1-P12,c,P12-A-1-c.wav,aware,P12,Lucas,masc,Perhaps she was aware that he was a terrible administrator,Lucas (about Selena and Scott):,Is Lucas certain that Scott was a terrible administrator?,,
6,aware-2-P3,nc,P3-A-2-nc.wav,aware,P3,Amelia,fem,Perhaps she was aware that he was unreliable,Amelia (about Cassie and Bruce):,Is Amelia certain that Bruce was unreliable?,,
6,know-3-P1,c,P1-K-3-c.wav,know,P1,Amy,fem,Perhaps she knew that he was wrong,Amy (about Maggie and Toby):,Is Amy certain that Toby was wrong?,,
6,discover-2-P5,nc,P5-D-2-nc.wav,discover,P5,Brian,masc,Perhaps he discovered that he’s a father,Brian (about Simon),Is Brian certain that Simon is a father?,,
6,control1,control,F1.wav,control,F1,Julie,fem,I am tired,Julie (about herself):,Is Julie certain that she is tired?,,
6,control2,control,F2.wav,control,F2,June,fem,I was invited to the party,June (about herself):,Is June certain that she was invited to the party?,,
7,notice-2-P6,c,P6-N-2-c.wav,notice,P6,Dana,fem,Perhaps she noticed that he had bad breath,Dana (about Sue and Mark):,Is Dana certain that Mark has bad breath?,,
7,know-2-P4,nc,P4-K-2-nc.wav,know,P4,Alexandra,fem,Perhaps he knew that she was married,Alexandra (about Greg and Tara):,Is Alexandra certain that Tara was married?,,
7,aware-3-P5,c,P5-A-3-c.wav,aware,P5,Brian,masc,Perhaps she was aware that he had bad reviews,Brian (about Joan and Lenny):,Is Brian certain that Lenny had bad reviews?,,
7,aware-1-P3,nc,P3-A-1-nc.wav,aware,P3,Amelia,fem,Perhaps she was aware that he was a terrible administrator,Amelia (about Selena and Scott):,Is Amelia certain that Scott was a terrible administrator?,,
7,aware-2-P1,c,P1-A-2-c.wav,aware,P1,Amy,fem,Perhaps she was aware that he was unreliable,Amy (about Cassie and Bruce):,Is Amy certain that Bruce was unreliable?,,
7,know-3-P12,nc,P12-K-3-nc.wav,know,P12,Lucas,masc,Perhaps she knew that he was wrong,Lucas (about Maggie and Toby):,Is Lucas certain that Toby was wrong?,,
7,discover-2-P8,c,P8-D-2-c.wav,discover,P8,Liam,masc,Perhaps he discovered that he’s a father,Liam (about Simon):,Is Liam certain that Simon is a father?,,
7,control1,control,F1.wav,control,F1,Julie,fem,I am tired,Julie (about herself):,Is Julie certain that she is tired?,,
7,control2,control,F2.wav,control,F2,June,fem,I was invited to the party,June (about herself):,Is June certain that she was invited to the party?,,
8,notice-2-P6,nc,P6-N-2-nc.wav,notice,P6,Dana,fem,Perhaps she noticed that he had bad breath,Dana (about Sue and Mark):,Is Dana certain that Mark has bad breath?,,
